job_title,location,company,salary,summary
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an..."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Caprico Biotechnologies, Inc. (CBI), an Atlanta-based start-up biotech company, is focused on the development and..."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,Contributes executing on a daily basis global research project activities within the screening unit and presents data to...
Bioinformatician,"Atlanta, GA 30346","IHRC, Inc.",Nothing_found,Work with scientists in the laboratory to address public health related scientific questions and develop new systems to...
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Scientist (NextGen Payroll),"Alpharetta, GA 30004",ADP,"$85,000 - $126,000 a year (Indeed est.)",Theoretical and practical understanding of data mining and machine learning techniques such as:....
"Sr. Associate, Data Scientist","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data &..."
Data Scientist,"Atlanta, GA 30326 (Buckhead area)","Carters, Inc","$85,000 - $126,000 a year (Indeed est.)",Use available data sources to deep dive and troubleshoot KPI metrics. The Company's Just One You and Genuine Kids brands...
Data Scientist/Machine Learning Trainee,"Atlanta, GA 30309 (Midtown area)",Norfolk Southern Corp,"$105,000 - $154,000 a year (Indeed est.)","As a Data Scientist/Machine Learning Trainee, you will be working with a team of Data Science professionals who apply..."
Data Scientist,"Alpharetta, GA",UNITED PARCEL SERVICE,Nothing_found,"Collaborates with cross-functional teams of data scientists, data engineers, application developers, etc. to deliver..."
Data Scientist,"Alpharetta, GA 30005",ADP,Nothing_found,"ADP is hiring a Data Scientist - Senior Machine Learning Engineer with demonstrated experience in Python, Hive,..."
"Data Scientist, Keying and Linking","Alpharetta, GA 30005",Equifax,"$96,000 - $142,000 a year (Indeed est.)",Data and Analytics. Function - Data and Analytics. Uses data mining tools and programming languages to prepare data for...
Data Science - Predictive & Prescriptive Analytics,"Alpharetta, GA 30022",Verizon,"$107,000 - $158,000 a year (Indeed est.)",Be a subject matter expert on machine learning and predictive modeling and a mentor to junior data scientists....
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,What you’ll be doing... This position will drive profitable growth and business innovation by applying cutting edge...
Data Science Consulant,"Atlanta, GA 30303 (Five Points area)",Accenture,"$108,000 - $160,000 a year (Indeed est.)","Effectively utilize statistical, data mining, machine learning, and/or deep learning techniques in delivering data..."
Data Science Masters Intern,"Atlanta, GA 30308 (Old Fourth Ward area)",Honeywell,Nothing_found,We value our more seasoned data scientists because they bring additional value to our company by using their years of...
Data Scientist,"Atlanta, GA",Grid Dynamics,"$104,000 - $154,000 a year (Indeed est.)","We are looking for an enthusiastic and technology-proficient Data Scientist who is eager to work on innovative Big Data,..."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning...."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.)...."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.)...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Caprico Biotechnologies, Inc. (CBI), an Atlanta-based start-up biotech company, is focused on the development and..."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,Contributes executing on a daily basis global research project activities within the screening unit and presents data to...
Bioinformatician,"Atlanta, GA 30346","IHRC, Inc.",Nothing_found,Work with scientists in the laboratory to address public health related scientific questions and develop new systems to...
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Scientist (NextGen Payroll),"Alpharetta, GA 30004",ADP,Nothing_found,Theoretical and practical understanding of data mining and machine learning techniques such as:....
"Sr. Associate, Data Scientist","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data &..."
Data Scientist,"Atlanta, GA",SunTrust,Nothing_found,"Performs sophisticated data analytics (encompassing data mining, inferential statistical analysis, and predictive..."
Data Scientist,"Alpharetta, GA",UNITED PARCEL SERVICE,Nothing_found,"Collaborates with cross-functional teams of data scientists, data engineers, application developers, etc. to deliver..."
Data Scientist,"Atlanta, GA",Intercontinental Exchange,Nothing_found,"The Data Analytics team is seeing a dynamic, self-motivated Data Scientist, who is able to work independently on data..."
Global Revenue Management Data Scientist,"Atlanta, GA 30341",Kimberly-Clark,Nothing_found,Desire 3 to 5 years of data mining and analysis role using latest data mining and analysis techniques....
Data Scientist,Georgia,Brillio,Nothing_found,5+ years of minimum experience in data science/machine learning (OR) PhD degree specializing in a relevant field such as...
Data Scientist,"Atlanta, GA",Roadie,Nothing_found,"Effective data visualization skills with tools like Matplotlib, Bokeh, and Seaborn...."
"Data Scientist (PYTHON, HADOOP)","Johns Creek, GA 30097",SoftVision - TAMS,Nothing_found,5-7 years of Data Modeling and Machine Learning Experience. 3 -5 years of experience in advanced statistical techniques...
Consumer Banking Data Scientist,"Atlanta, GA",SunTrust,Nothing_found,Provide data analytics to the Consumer Segment across multiple lines of business....
Data Scientist,"Atlanta, GA","FraudScope, Inc.",Nothing_found,Experience with healthcare data. Keep abreast of developments within machine learning and apply where appropriate....
Lead Data Scientist,"Atlanta, GA 30328",UNITED PARCEL SERVICE,Nothing_found,Explores relevant model data to gain insight of variables and identify relationships with existing data....
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning...."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an..."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,Contributes executing on a daily basis global research project activities within the screening unit and presents data to project teams or screening review teams...
"Sr. Associate, Data Scientist","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
DATA SCIENTIST,"Kennesaw, GA",LendingPoint Consolidated Inc,"$77,000 - $114,000 a year (Indeed est.)","At the core, you’ll need to be an expert in SQL and Hadoop to undertake data extraction, transformation and to generate great insights...."
Data Scientist,"Atlanta, GA 30326 (Buckhead area)",Novelis,"$85,000 - $126,000 a year (Indeed est.)","Proficiency in programming languages such as SQL and Python or R and experience in big data technologies such as Hadoop, Spark...."
Data Scientist - Artificial Intelligence - Consultant - Atlanta,"Atlanta, GA",Capgemini,"$98,000 - $145,000 a year (Indeed est.)","If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical..."
"Data Scientist, Online","Atlanta, GA 30301 (Buckhead area)",The Home Depot,"$98,000 - $145,000 a year (Indeed est.)","Experience with Deep Learning & Machine Learning. Manager, Data Science. Master's in Computer Science, Math or related quantitative field (or BS/BA in Computer..."
Industrial Data Scientist,"Alpharetta, GA",Solvay,"$80,000 - $118,000 a year (Indeed est.)",Industrial Data Scientist - MAN000046. Knowledge of SAS data analytics platform and/ or JMP visualization software....
Junior Data Scientist,"Atlanta, GA 30309 (Midtown area)",TruckIT,Nothing_found,"The Big Data and Machine Learning team is responsible for building big data pipelines and deriving insights out of the data using advanced analytic techniques,..."
Data Scientist,Georgia,Brillio,"$108,000 - $160,000 a year (Indeed est.)","5+ years of minimum experience in data science/machine learning (OR) PhD degree specializing in a relevant field such as Probability, Statistics, Machine..."
Data Scientist,"Dalton, GA 30721",Shaw Industries,"$88,000 - $130,000 a year (Indeed est.)","The data scientist is responsible for modeling complex business problems and discovering business insights through the use of statistical, algorithmic, mining,..."
Procurement Data Scientist & Fraud Analyst,"Alpharetta, GA",UNITED PARCEL SERVICE,Nothing_found,UPS is seeking a Procurement Data Scientist/Fraud Examiner to implement advanced analytics models and solutions to yield predictive and prescriptive insights...
Data Scientist,"Alpharetta, GA 30005",CIOX Health,"$88,000 - $129,000 a year (Indeed est.)",Data Scientists are pioneers in leveraging data with Natural Language Processing (NLP) and Machine Learning (ML) algorithms to drive better clinical actions and...
Bioinformatician,"Atlanta, GA 30346","IHRC, Inc.",Nothing_found,Work with scientists in the laboratory to address public health related scientific questions and develop new systems to improve surveillance....
Data Scientist (NextGen Payroll),"Alpharetta, GA 30004",ADP,"$85,000 - $126,000 a year (Indeed est.)",Theoretical and practical understanding of data mining and machine learning techniques such as:. ADP is hiring a Machine Learning Engineer with demonstrated...
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,"Contributes executing on a daily basis global research project activities within the screening unit and presents data to project teams or screening review teams with chemistry et al., other R&D..."
Data Scientist (NextGen Payroll),"Alpharetta, GA 30004",ADP,Nothing_found,"Theoretical and practical understanding of data mining and machine learning techniques such as:. ADP is hiring a Machine Learning Engineer with demonstrated experience in Python, Hive, programming and..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science primarily focusing on Python and you’ll give..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies. Experience as a data scientist, analyst, or statistical modeler...."
Data Scientist,"Atlanta, GA 30301 (Buckhead area)",The Home Depot,Nothing_found,3 years of experience in data mining and statistical analysis. Insights from data to solve business problems. This position's primary focus is to manipulate large datasets to extract meaningful...
Data Scientist,"Atlanta, GA",OM Partners,Nothing_found,"A solid background in applied statistics (distributions, statistical testing, confidence intervals, machine learning, time series, …) is required. As a Data Scientist, you have only one aim:...."
"Data Scientist, Data Science and Analytics","Atlanta, GA",BD,Nothing_found,"Design and develop Deep Learning, Machine Learning, Data Mining, R, Python, Statistical Models, and other data analysis techniques to collect, explore, and extract insights from structured and..."
Data Scientist - Artificial Intelligence - Consultant - Atlanta,"Atlanta, GA",Capgemini,Nothing_found,"If you are passionate about solving problems in the realm of cognitive computing, big data, and machine learning while utilizing business acumen, statistical understanding, and technical know-how, the..."
Health Scientist,"Atlanta, GA 30305 (Buckhead area)",Centers for Disease Control and Prevention,"$78,446 - $101,983 a year","Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic and international partners, we rely on..."
Data Science Masters Intern,"Atlanta, GA 30308 (Old Fourth Ward area)",Honeywell,Nothing_found,We value our more seasoned data scientists because they bring additional value to our company by using their years of experience to guide the next generation....
Data Scientists – Machine Learning,"Alpharetta, GA",Brielle Technologies,$60 - $70 an hour,Apply machine learning and statistical techniques to large data sets to find actionable insights. You will work on Advanced Analytics using Big Data technologies such as Hadoop and Data Warehousing....
Data Scientist,"Alpharetta, GA 30005",ADP,Nothing_found,"ADP is hiring a Data Scientist - Senior Machine Learning Engineer with demonstrated experience in Python, Hive, programming and machine learning techniques...."
Business Banking Data Scientist,"Atlanta, GA",SunTrust,Nothing_found,"Perform sophisticated data analytics (encompassing data mining, inferential statistical analysis, and predictive analytics, for example). Analysts leverage these techniques to uncover patterns and..."
DATA SCIENTIST- Space Optimization,"Atlanta, GA 30301 (Buckhead area)",The Home Depot,Nothing_found,3 years of experience in data mining and statistical analysis. Insights from data to solve business problems. This position's primary focus is to manipulate large datasets to extract meaningful...
Bioinformatician,"Atlanta, GA 30346","IHRC, Inc.",Nothing_found,Work with scientists in the laboratory to address public health related scientific questions and develop new systems to improve surveillance. Utilize existing open source and commercially available...
"Sr. Associate, Data Scientist","Atlanta, GA 30338",KPMG,Nothing_found,"Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including innovation, quality management, utilizing..."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes medical, dental and vision coverage...."
Health Scientist,"Atlanta, GA 30305 (Buckhead area)",Centers for Disease Control and Prevention,"$78,446 - $101,983 a year","Whether we are protecting the American people from public health threats, researching emerging diseases, or mobilizing public health programs with our domestic and international partners, we rely on..."
Data Scientist,"Alpharetta, GA 30005",CIOX Health,"$88,000 - $129,000 a year (Indeed est.)",Data Scientists are pioneers in leveraging data with Natural Language Processing (NLP) and Machine Learning (ML) algorithms to drive better clinical actions and outcomes....
"Data Scientist (PYTHON, HADOOP)","Johns Creek, GA 30097",SoftVision - TAMS,"$105,000 - $155,000 a year (Indeed est.)","5-7 years of Data Modeling and Machine Learning Experience. 3 -5 years of experience in advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis..."
"Data Scientist, Data Science and Analytics","Atlanta, GA",BD,"$80,000 - $118,000 a year (Indeed est.)","Design and develop Deep Learning, Machine Learning, Data Mining, R, Python, Statistical Models, and other data analysis techniques to collect, explore, and extract insights from structured and..."
Principal Data Scientist - Telecommute,"Atlanta, GA",UnitedHealth Group,Nothing_found,"5+ years of hands-on experience in data mining and predictive analytics with machine learning / statistical modeling techniques. Work alongside other data scientists, engineers, and project managers..."
Data Analytics Specialist,"Roswell, GA",MotoRad of America,Nothing_found,"Ability to use various statistical analysis software programs including QlikView, Microsoft Power BI, Forecast Pro to mine data sources and look for trends with a working knowledge of SQL and SQL..."
Data Scientist / Analytic Consultant 4,"Atlanta, GA",Wells Fargo,"$90,000 - $132,000 a year (Indeed est.)","As part of the Enterprise Analytics and Data Science team, you will collaborate with other data scientists to generate innovative ideas, define analytical needs, create hypothesis, conduct data..."
Data Scientist,"Dalton, GA 30721","Shaw Industries Group, Inc.","$88,000 - $130,000 a year (Indeed est.)","The data scientist is responsible for modeling complex business problems and discovering business insights through the use of statistical, algorithmic, mining, and visualization techniques...."
Quantitative Analyst,"Atlanta, GA 30328",Intercontinental Exchange,Nothing_found,"Investigate and manage large data sets. Experience with R, Java, and C# preferred. Explain model behavior, carry out scenario analysis, and provide guidance and analytics...."
Associate Statistical Modeler,"Alpharetta, GA",Risk Solutions,Nothing_found,"With over 40 years of expertise, we are the trusted data analytics provider for organizations seeking actionable insights to manage risks and improve results while upholding the highest standards for..."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,"Contributes executing on a daily basis global research project activities within the screening unit and presents data to project teams or screening review teams with chemistry et al., other R&D..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies. Experience as a data scientist, analyst, or statistical modeler...."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes medical, dental and vision coverage...."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science primarily focusing on Python and you’ll give..."
Associate Analytics Engineer,"Atlanta, GA 30301 (Buckhead area)",The Coca-Cola Company,Nothing_found,Provide data expertise to data scientists and overall analyst community. Work closely with data scientists to design and maintain scalable data models and...
Data Scientist,"Atlanta, GA",Intercontinental Exchange,Nothing_found,"The Data Analytics team is seeing a dynamic, self-motivated Data Scientist, who is able to work independently on data analysis, datamining, report development..."
CDC Data Analysis Fellowship,"Atlanta, GA",Nothing_found,Nothing_found,"(2) how to conduct studies of health care utilization and costs associated with diabetes and related complications using varied data sets, including healthcare..."
Data Scientist and Computer Engineer,"Norcross, GA",Finastra,Nothing_found,"You should be passionate about digging through data, looking for insights, uncovering trends, making forecasts, and communicating the results...."
Data Analyst | ITI,"Atlanta, GA",Emory University,Nothing_found,"Works in close coordination with the Senior Data Analyst - Provides countries with support to get started on mobile data collection, including assigning..."
Quantitative Finance Analyst,"Atlanta, GA 30308 (Old Fourth Ward area)",Bank of America,Nothing_found,"Experience with Hadoop, R, LaTeX, Reporting Tools. Experience having worked in modelling or data environment...."
Global Revenue Management Data Scientist,"Atlanta, GA 30341",Kimberly-Clark,Nothing_found,Desire 3 to 5 years of data mining and analysis role using latest data mining and analysis techniques....
Quantitative Analyst - DHE,"Atlanta, GA 30345",Abt Associates,Nothing_found,"Implement and manage project schedules, plans, and goals under the indirect supervision of more senior staff. Draft and manage the implementation of procedures..."
Senior Data Scientist,"Atlanta, GA","AUDIOEYE, INC.",Nothing_found,The Data Scientist identifies business trends and problems through complex big data analysis. Interprets results from multiple sources using a variety of...
DATA ANALYST SUPPLY CHAIN,"Atlanta, GA 30301 (Buckhead area)",The Home Depot,Nothing_found,Operates under the supervision and mentorship of more experienced managers and data scientists. Prior direct experience in analyzing the relevant subject matter...
Data Scientist (NextGen Payroll),"Alpharetta, GA 30004",ADP,Nothing_found,Theoretical and practical understanding of data mining and machine learning techniques such as:. ADP is hiring a Machine Learning Engineer with demonstrated...
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
"Scientist II, Discovery","Athens, GA 30601",Boehringer Ingelheim,Nothing_found,Contributes executing on a daily basis global research project activities within the screening unit and presents data to project teams or screening review teams...
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
Advertising Research Analyst,"Atlanta, GA 30328",Comcast,Nothing_found,"Identify and address complex issues (conflicting data, client objections, industry trends, etc.). Ability to analyze and translate data-based findings into..."
R&D Intern,"Covington, GA",BD,Nothing_found,Researches and reviews clinical data for assigned projects. Currently enrolled in a Bachelor’s degree program majoring in an appropriate scientific or...
Data Steward,"Alpharetta, GA",Solvay,Nothing_found,"Collaborate with data scientists, process and automation specialist to refine data requirements and propose alternatives if needed...."
CDC Summer Epidemiology and Data Analysis Fellowship,"Atlanta, GA",Nothing_found,Nothing_found,Data analysis skills. Enhance skills in spatial visualization and automation of data reports. Some experience in conducting literature searches and summarizing...
Fall 2019 Data Science Internship,"Atlanta, GA 30309 (Midtown area)",Norfolk Southern Corp,Nothing_found,"As a Data Scientist/Machine Learning Intern, you will be working with a team of Data Science professionals who apply various cutting edge machine learning and..."
"Manager, Data Scientist","Atlanta, GA",Greensky,"$85,000 - $126,000 a year (Indeed est.)","We have different roles where Data Scientists can contribute such as credit policy, valuations, collections analytics, operations analytics, fraud analytics,..."
Data Scientist,"Atlanta, GA",Regions Bank,"$106,000 - $156,000 a year (Indeed est.)","At Regions, the Data Scientist works with multiple teams of data scientists, analysts and visualization experts mentoring junior data scientist as well as..."
"Senior Data Scientist - 360i, Atlanta","Atlanta, GA",Dentsu Aegis Network,Nothing_found,"Advanced R or Python programming skills for data manipulation, analysis, and building end-to-end machine learning pipelines...."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Food Scientist,"Conyers, GA 30013",Golden State Foods,Nothing_found,"Apply working knowledge of mathematical concepts and scientific weights and measures. 3 to 6 years of relevant work experience, with an understanding of food..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Entry Level Environmental Scientist,"Roswell, GA 30075","Atlantic Coast Consulting, inc.",Nothing_found,"Various field data collection and data reports. Salary will be very competitive, depending on experience, with an excellent benefits package which includes..."
Data Scientist - Supply Chain Inventory Optimization,"Atlanta, GA",Double Edge Capital LLC,"$100,000 - $150,000 a year","Data visualization skills (Power BI, Tableau, supply chain maps, etc.). Database (MS Access and SQL Server) and data transformation skills strongly desired...."
Conjugation Scientist,"Norcross, GA",Caprico Biotechnologies,Nothing_found,"Interested applicants please send a resume, cover letter, and 3 references. Critical analysis of analytical and process data, and the interpretation of results...."
"Senior Data Scientist - 360i, Atlanta","Atlanta, GA",Dentsu Aegis Network,Nothing_found,"Advanced R or Python programming skills for data manipulation, analysis, and building end-to-end machine learning pipelines...."
"Head of Business Development - Machine Learning, AI & Data Science","Atlanta, GA",Xen.ai,Nothing_found,"Xen.AI is looking for a Head of Business Development - Machine Learning (ML), Artificial intelligence (AI) & Data Science position...."
"Assistant Scientist, Study Management","Atlanta, GA",AMERICAN CANCER SOCIETY,Nothing_found,"Working in a team environment, perform various administrative, data entry and project specific duties related to the management and maintenance of the Cancer..."
"Entry-Level Environmental Scientist, Engineer, or Health Specialist","Atlanta, GA 30341","Eastern Research Group, Inc.",Nothing_found,"Immediate Opening for Entry-Level Environmental Scientist, Environmental Engineer, or Environmental Health Specialist...."
Lead Data Scientist - Risk Strategy,"Alpharetta, GA 30005",ADP,Nothing_found,"Will exhibit expert level knowledge in data storage, data modeling and data visualization. Ability to effectively communicate data insights and data science..."
Data Scientist / Analytic Consultant 4,"Atlanta, GA",Wells Fargo,"$90,000 - $132,000 a year (Indeed est.)","As part of the Enterprise Analytics and Data Science team, you will collaborate with other data scientists to generate innovative ideas, define analytical needs..."
Scientist II - Packaging Analytical,"Atlanta, GA 30301 (Buckhead area)",The Coca-Cola Company,Nothing_found,Working with senior engineers and scientists to evaluate and validate existing test methods; Interpret data from routine and non-routine analyses and record...
Data Engineer,"Atlanta, GA 30326 (Buckhead area)",Novelis,Nothing_found,"His/her core responsibility will be to combine large volumes of disparate complex data, conduct quality checks on the data, manipulate the data and ensure..."
"Associate, Planning","Atlanta, GA",Mindshare,Nothing_found,"Our Media Planners are part psychologists, part scientists, part artists, part entrepreneurs, and part politicians...."
Environmental Data Validator/Scientist (Associate Level),"Atlanta, GA",ERM Group,Nothing_found,Perform and manage multiple tasks within scope/budget/schedule expectations and ensure quality standards on project deliverables....
Data Scientist (NextGen Payroll),"Alpharetta, GA 30004",ADP,"$85,000 - $126,000 a year (Indeed est.)",Theoretical and practical understanding of data mining and machine learning techniques such as:. ADP is hiring a Machine Learning Engineer with demonstrated...
Data Science Instructor,"Atlanta, GA",Thinkful,$20 - $25 an hour,"Proficiency in SQL, Python, scikit-learn, data visualizations and machine learning. You’ll lead technical workshops teaching the basics of data science..."
Senior Data Scientist,"Alpharetta, GA 30022",Verizon,Nothing_found,"As a Senior Data Scientist, you’ll lead projects that develop and perform complex analyses using Big Data technologies...."
